HGNCID	Status	ApprovedSymbol	ApprovedName	PreviousSymbols	AliasSymbol	EnsemblGeneID	UCSCGeneID	RefSeqAccession	UniProtAccession
HGNC:21143	Approved	ZBTB24	zinc finger and BTB domain containing 24	ZNF450	KIAA0441|BIF1|PATZ2	ENSG00000112365	uc003ptl.2	NM_014797	O43167
HGNC:13112	Approved	ZBTB25	zinc finger and BTB domain containing 25	ZNF46|C14orf51	KUP	ENSG00000089775	uc001xhf.4	NM_006977	P24278
HGNC:23383	Approved	ZBTB26	zinc finger and BTB domain containing 26	ZNF481		ENSG00000171448	uc004bnk.4	NM_020924	Q9HCK0
HGNC:16763	Approved	ZBTB32	zinc finger and BTB domain containing 32		TZFP|FAZF|FAXF|Rog|ZNF538	ENSG00000011590	uc060xgt.1	NM_014383	Q9Y2Y4
HGNC:16682	Approved	ZBTB33	zinc finger and BTB domain containing 33		ZNF-kaiso|kaiso|WUGSC:H_DJ525N14.1|KAISO|ZNF348	ENSG00000177485	uc004esn.2	NM_006777	Q86T24
HGNC:31446	Approved	ZBTB34	zinc finger and BTB domain containing 34		KIAA1993|MGC24652|ZNF918	ENSG00000177125	uc064vtp.1	NM_001099270	Q8NCN2
HGNC:28365	Approved	ZBTB37	zinc finger and BTB domain containing 37		MGC2629|ZNF908	ENSG00000185278	uc021pfb.2	NM_032522	Q5TC79
HGNC:26636	Approved	ZBTB38	zinc finger and BTB domain containing 38		FLJ35036|CIBZ|ZNF921|PPP1R171	ENSG00000177311	uc062olr.1	NM_001080412	Q8NAP3
HGNC:29014	Approved	ZBTB39	zinc finger and BTB domain containing 39		KIAA0352|ZNF922	ENSG00000166860	uc001sml.3	NM_014830	O15060
HGNC:29045	Approved	ZBTB40	zinc finger and BTB domain containing 40		KIAA0478|ZNF923	ENSG00000184677	uc001bft.2	NM_014870	Q9NUA8
HGNC:41493	Approved	ZBTB40-IT1	ZBTB40 intronic transcript 1			ENSG00000237200	uc057ddu.1		
HGNC:24819	Approved	ZBTB41	zinc finger and BTB domain containing 41		FRBZ1|FLJ36199|DKFZp686C06120|ZNF924	ENSG00000177888	uc001gtx.2	NM_194314	Q5SVQ8
HGNC:32550	Approved	ZBTB42	zinc finger and BTB domain containing 42		ZNF925	ENSG00000179627	uc021sem.3	NM_001137601	B2RXF5
HGNC:17908	Approved	ZBTB43	zinc finger and BTB domain containing 43	ZNF297B	KIAA0414|ZNF-X|FLJ22470|ZBTB22B	ENSG00000169155	uc010mxf.4	NM_001135776	O43298
HGNC:25001	Approved	ZBTB44	zinc finger and BTB domain containing 44	BTBD15	HSPC063|ZNF851	ENSG00000196323	uc001qgb.5	NM_014155	Q8NCP5
HGNC:23715	Approved	ZBTB45	zinc finger and BTB domain containing 45	ZNF499	FLJ14486	ENSG00000119574	uc002qtf.4	NM_032792	Q96K62
HGNC:49227	Approved	ZBTB45P1	zinc finger and BTB domain containing 45 pseudogene 1			ENSG00000225108		NG_011684	
HGNC:49228	Approved	ZBTB45P2	zinc finger and BTB domain containing 45 pseudogene 2			ENSG00000226065		NG_021578	
HGNC:16094	Approved	ZBTB46	zinc finger and BTB domain containing 46	ZNF340|BTBD4	FLJ13502|RINZF|BZEL	ENSG00000130584	uc061ypq.1	NM_025224	Q86UZ6
HGNC:40753	Approved	ZBTB46-AS1	ZBTB46 antisense RNA 1			ENSG00000231208		NR_110081	
HGNC:26955	Approved	ZBTB47	zinc finger and BTB domain containing 47	ZNF651	KIAA1190|DKFZp434N0615	ENSG00000114853	uc003clu.3	NM_145166	Q9UFB7
HGNC:4930	Approved	ZBTB48	zinc finger and BTB domain containing 48	HKR3	ZNF855	ENSG00000204859	uc001anx.5	NM_005341	P10074
HGNC:19883	Approved	ZBTB49	zinc finger and BTB domain containing 49	ZNF509	FLJ38559	ENSG00000168826	uc003ghu.4	NM_145291	Q6ZSB9
HGNC:24277	Approved	ZC2HC1A	zinc finger C2HC-type containing 1A	C8orf70|FAM164A	CGI-62	ENSG00000104427	uc003ybd.4	NM_016010	Q96GY0
HGNC:21174	Approved	ZC2HC1B	zinc finger C2HC-type containing 1B	FAM164B|C6orf94	dJ468K18.5	ENSG00000118491	uc010khk.4	NM_001013623	Q5TFG8
HGNC:20354	Approved	ZC2HC1C	zinc finger C2HC-type containing 1C	C14orf140|FAM164C		ENSG00000119703	uc001xrh.5	NM_001042430	Q53FD0
HGNC:28972	Approved	ZC3H3	zinc finger CCCH-type containing 3	ZC3HDC3	KIAA0150	ENSG00000014164	uc003yyd.3	NM_015117	Q8IXZ2
HGNC:17808	Approved	ZC3H4	zinc finger CCCH-type containing 4	C19orf7	KIAA1064	ENSG00000130749	uc002pga.5	NM_015168	Q9UPT8
HGNC:24762	Approved	ZC3H6	zinc finger CCCH-type containing 6	ZC3HDC6	FLJ41410|FLJ45877|KIAA2035	ENSG00000188177	uc002thq.2	NM_198581	P61129
HGNC:30959	Approved	ZC3H7A	zinc finger CCCH-type containing 7A	ZC3HDC7|ZC3H7	HSPC055|FLJ20318	ENSG00000122299	uc002dbl.4	NM_014153	Q8IWR0
HGNC:30869	Approved	ZC3H7B	zinc finger CCCH-type containing 7B		RoXaN|FLJ13787|DKFZp434K0920|KIAA1031	ENSG00000100403	uc003azw.5	NM_017590	Q9UGR2
HGNC:30941	Approved	ZC3H8	zinc finger CCCH-type containing 8	ZC3HDC8	Fliz1	ENSG00000144161	uc061mze.1	NM_032494	Q8N5P1
HGNC:25893	Approved	ZC3H10	zinc finger CCCH-type containing 10	ZC3HDC10	FLJ14451	ENSG00000135482	uc001sjp.2	NM_032786	Q96K80
HGNC:29093	Approved	ZC3H11A	zinc finger CCCH-type containing 11A	ZC3HDC11A	KIAA0663	ENSG00000058673	uc001had.4	NM_014827	O75152
HGNC:25659	Approved	ZC3H11B	zinc finger CCCH-type containing 11B pseudogene	ZC3HDC11B		ENSG00000215817		NG_007367	
HGNC:26259	Approved	ZC3H12A	zinc finger CCCH-type containing 12A		FLJ23231|MCPIP1	ENSG00000163874	uc001cbb.5	NM_025079	Q5D1E8
HGNC:17407	Approved	ZC3H12B	zinc finger CCCH-type containing 12B	CXorf32	MCPIP2	ENSG00000102053	uc010nko.3	XM_293334	Q5HYM0
HGNC:29362	Approved	ZC3H12C	zinc finger CCCH-type containing 12C		KIAA1726|MCPIP3	ENSG00000149289	uc010rwd.3	NM_033390	Q9C0D7
HGNC:21175	Approved	ZC3H12D	zinc finger CCCH-type containing 12D	C6orf95	dJ281H8.1|MCPIP4	ENSG00000178199	uc010kid.4	NM_207360	A2A288
HGNC:20368	Approved	ZC3H13	zinc finger CCCH-type containing 13	KIAA0853	DKFZp434D1812	ENSG00000123200	uc001vas.3	NM_015070	Q5T200
HGNC:20509	Approved	ZC3H14	zinc finger CCCH-type containing 14		FLJ11806|UKp68|NY-REN-37	ENSG00000100722	uc001xww.4	NM_024824	Q6PJT7
HGNC:29528	Approved	ZC3H15	zinc finger CCCH-type containing 15		LEREPO4	ENSG00000065548	uc002upo.4	NM_018471	Q8WU90
HGNC:25091	Approved	ZC3H18	zinc finger CCCH-type containing 18		NHN1	ENSG00000158545	uc002fky.4	NM_144604	Q86VM9
HGNC:33799	Approved	ZC3H18-AS1	ZC3H18 antisense RNA 1 (head to head)	C16orf85|LINC00859	FLJ45530			XR_001752301	
HGNC:23721	Approved	ZC3HAV1	"zinc finger CCCH-type containing, antiviral 1"		ZAP|FLB6421|FLJ13288|MGC48898|ZC3HDC2|ZC3H2|PARP13	ENSG00000105939	uc003vun.4	NM_020119	Q7Z2W4
HGNC:22423	Approved	ZC3HAV1L	"zinc finger CCCH-type containing, antiviral 1 like"	C7orf39	MGC14289	ENSG00000146858	uc003vum.1	NM_080660	Q96H79
HGNC:29913	Approved	ZC3HC1	zinc finger C3HC-type containing 1		NIPA	ENSG00000091732	uc003vpi.4	NM_016478	Q86WB0
HGNC:24931	Approved	ZC4H2	zinc finger C4H2-type containing	KIAA1166|WWS	HCA127	ENSG00000126970	uc004dvu.4	NM_018684	Q9NQZ6
HGNC:22916	Approved	ZCCHC2	zinc finger CCHC-type containing 2	C18orf49	FLJ20281|KIAA1744|FLJ20222	ENSG00000141664	uc002lip.5	NM_017742	Q9C0B9
HGNC:16230	Approved	ZCCHC3	zinc finger CCHC-type containing 3	C20orf99	dJ1103G7.7	ENSG00000247315	uc032oxz.2	NM_033089	Q9NUD5
HGNC:22917	Approved	ZCCHC4	zinc finger CCHC-type containing 4		HSPC052|FLJ23024|ZGRF4	ENSG00000168228	uc003grl.5	NM_001318148	Q9H5U6
HGNC:25817	Approved	ZCCHC6	zinc finger CCHC-type containing 6		KIAA1711|FLJ13409|PAPD6|TUT7	ENSG00000083223	uc004aoq.4	NM_024617	Q5VYS8
HGNC:26209	Approved	ZCCHC7	zinc finger CCHC-type containing 7		FLJ22611|AIR1	ENSG00000147905	uc003zzq.4	NM_032226	Q8N3Z6
HGNC:25265	Approved	ZCCHC8	zinc finger CCHC-type containing 8		DKFZp434E2220	ENSG00000033030	uc284ngs.1	NM_017612	Q6NZY4
HGNC:25424	Approved	ZCCHC9	zinc finger CCHC-type containing 9		DKFZp761J139|PPP1R41	ENSG00000131732	uc063ezn.1	NM_032280	Q8N567
HGNC:25954	Approved	ZCCHC10	zinc finger CCHC-type containing 10		FLJ20094	ENSG00000155329	uc003kyg.4	NM_017665	Q8TBK6
HGNC:28981	Approved	ZCCHC11	zinc finger CCHC-type containing 11		KIAA0191|PAPD3|TUT4	ENSG00000134744	uc001cty.3	XM_038288	Q5TAX3
HGNC:27273	Approved	ZCCHC12	zinc finger CCHC-type containing 12		FLJ16123|SIZN|SIZN1|PNMA7A	ENSG00000174460	uc004equ.4	NM_173798	Q6PEW1
HGNC:31749	Approved	ZCCHC13	zinc finger CCHC-type containing 13		4930513O09RIK|Cnbp2|ZNF9L	ENSG00000187969	uc004ebs.5	NM_203303	Q8WW36
HGNC:24134	Approved	ZCCHC14	zinc finger CCHC-type containing 14		BDG29|MGC14139	ENSG00000140948	uc002fjz.2	NM_015144	Q8WYQ9
HGNC:30246	Approved	ZCCHC17	zinc finger CCHC-type containing 17		PS1D|HSPC251|pNO40	ENSG00000121766	uc001bsp.3	NM_016505	Q9NP64
HGNC:32459	Approved	ZCCHC18	zinc finger CCHC-type containing 18		SIZN2|PNMA7B	ENSG00000166707	uc011msh.4	NM_001143978	P0CG32
HGNC:32963	Approved	ZCCHC23	zinc finger CCHC-type containing 23		FLJ45231	ENSG00000246774		NM_001039778	Q6ZST2
HGNC:26911	Approved	ZCCHC24	zinc finger CCHC-type containing 24	C10orf56	FLJ90798|Z3CXXC8	ENSG00000165424	uc001kak.4	NM_153367	Q8N2G6
HGNC:29620	Approved	ZCRB1	zinc finger CCHC-type and RNA binding motif containing 1		MADP-1|MADP1|RBM36|ZCCHC19|SNRNP31	ENSG00000139168	uc001rmz.4	NM_033114	Q8TBF4
HGNC:23486	Approved	ZCWPW1	zinc finger CW-type and PWWP domain containing 1		FLJ10057|DKFZp434N0510|ZCW1	ENSG00000078487	uc003uut.5	NM_017984	Q9H0M4
HGNC:23574	Approved	ZCWPW2	zinc finger CW-type and PWWP domain containing 2		ZCW2	ENSG00000206559	uc003ceh.4	XM_087384	Q504Y3
HGNC:29313	Approved	ZDBF2	zinc finger DBF-type containing 2		FLJ45338|KIAA1571	ENSG00000204186	uc002vbp.4	NM_020923	Q9HCK1
HGNC:17916	Approved	ZDHHC1	zinc finger DHHC-type containing 1	C16orf1	HSU90653|ZNF377	ENSG00000159714	uc010vjm.3	NM_013304	Q8WTX9
HGNC:18469	Approved	ZDHHC2	zinc finger DHHC-type containing 2		ZNF372|DHHC2	ENSG00000104219	uc003wxe.4	NM_016353	Q9UIJ5
HGNC:18470	Approved	ZDHHC3	zinc finger DHHC-type containing 3		ZNF373|GODZ|DHHC3	ENSG00000163812	uc003cog.4	NM_016598	Q9NYG2
HGNC:18471	Approved	ZDHHC4	zinc finger DHHC-type containing 4		FLJ10479|ZNF374	ENSG00000136247	uc064bil.1	NM_018106	Q9NPG8
HGNC:39443	Approved	ZDHHC4P1	zinc finger DHHC-type containing 4 pseudogene 1			ENSG00000238025		NG_024919	
HGNC:18472	Approved	ZDHHC5	zinc finger DHHC-type containing 5		KIAA1748|ZNF375|DHHC5	ENSG00000156599	uc001nkx.2	NM_015457	Q9C0B5
HGNC:19160	Approved	ZDHHC6	zinc finger DHHC-type containing 6		ZNF376|FLJ21952	ENSG00000023041	uc001kzv.3	NM_022494	Q9H6R6
HGNC:18459	Approved	ZDHHC7	zinc finger DHHC-type containing 7		FLJ10792|ZNF370|FLJ20279|SERZ-B|SERZ1|DHHC7	ENSG00000153786	uc002fiq.3	NM_017740	Q9NXF8
HGNC:18474	Approved	ZDHHC8	zinc finger DHHC-type containing 8		ZNF378|KIAA1292	ENSG00000099904	uc002zrq.4	NM_013373	Q9ULC8
HGNC:26461	Approved	ZDHHC8P1	zinc finger DHHC-type containing 8 pseudogene 1	ZDHHC8P	FLJ31568	ENSG00000133519		NR_003950	
HGNC:18475	Approved	ZDHHC9	zinc finger DHHC-type containing 9	ZDHHC10|CXorf11	ZNF379|CGI-89|ZNF380	ENSG00000188706	uc004euw.4	NM_016032	Q9Y397
HGNC:19158	Approved	ZDHHC11	zinc finger DHHC-type containing 11		ZNF399|FLJ13153	ENSG00000188818	uc011cma.2	NM_024786	Q9H8X9
HGNC:32962	Approved	ZDHHC11B	zinc finger DHHC-type containing 11B			ENSG00000206077	uc063bxb.1	XM_926053	P0C7U3
HGNC:19159	Approved	ZDHHC12	zinc finger DHHC-type containing 12		ZNF400|FLJ14524	ENSG00000160446	uc004bvy.4	NM_032799	Q96GR4
HGNC:18413	Approved	ZDHHC13	zinc finger DHHC-type containing 13		FLJ10852|FLJ10941|HIP14L	ENSG00000177054	uc001mpi.4	NM_019028	Q8IUH4
HGNC:20341	Approved	ZDHHC14	zinc finger DHHC-type containing 14		FLJ20984|NEW1CP	ENSG00000175048	uc003qqt.4	NM_153746	Q8IZN3
HGNC:20342	Approved	ZDHHC15	zinc finger DHHC-type containing 15		FLJ31812|MRX91|DHHC15	ENSG00000102383	uc004ecg.4	NM_144969	Q96MV8
HGNC:20714	Approved	ZDHHC16	zinc finger DHHC-type containing 16		APH2	ENSG00000171307	uc001knj.5	NM_032327	Q969W1
HGNC:18412	Approved	ZDHHC17	zinc finger DHHC-type containing 17		HIP14|HYPH|KIAA0946	ENSG00000186908	uc001syk.2	NM_015336	Q8IUH5
HGNC:20712	Approved	ZDHHC18	zinc finger DHHC-type containing 18		DKFZp667O2416	ENSG00000204160	uc001bnb.4	NM_032283	Q9NUE0
HGNC:20713	Approved	ZDHHC19	zinc finger DHHC-type containing 19		MGC33345	ENSG00000163958	uc003fwc.4	NM_144637	Q8WVZ1
HGNC:20749	Approved	ZDHHC20	zinc finger DHHC-type containing 20		FLJ25952|DHHC20	ENSG00000180776	uc001uoa.4	NM_153251	Q5W0Z9
HGNC:39899	Entry Withdrawn	ZDHHC20-AS1	entry withdrawn						
HGNC:39900	Approved	ZDHHC20-IT1	ZDHHC20 intronic transcript 1			ENSG00000236953	uc058vvu.1		
HGNC:33456	Approved	ZDHHC20P1	zinc finger DHHC-type containing 20 pseudogene 1		OTTHUMG00000086707	ENSG00000233916		NG_029279	
HGNC:33457	Approved	ZDHHC20P2	zinc finger DHHC-type containing 20 pseudogene 2		OTTHUMG00000133740	ENSG00000223702		NG_029280	
HGNC:39775	Approved	ZDHHC20P3	zinc finger DHHC-type containing 20 pseudogene 3			ENSG00000255460		NG_032357	
HGNC:39776	Approved	ZDHHC20P4	zinc finger DHHC-type containing 20 pseudogene 4			ENSG00000232380		NG_011414	
HGNC:20750	Approved	ZDHHC21	zinc finger DHHC-type containing 21		HSPC097|DNZ1|DHHC21	ENSG00000175893	uc003zlh.3	NM_178566	Q8IVQ6
HGNC:20106	Approved	ZDHHC22	zinc finger DHHC-type containing 22	C14orf59		ENSG00000177108	uc010asp.3	NM_174976	Q8N966
HGNC:28654	Approved	ZDHHC23	zinc finger DHHC-type containing 23		MGC42530	ENSG00000184307	uc003eau.4	NM_173570	Q8IYP9
HGNC:27387	Approved	ZDHHC24	zinc finger DHHC-type containing 24			ENSG00000174165	uc001oin.2	NM_207340	Q6UX98
HGNC:11642	Approved	ZEB1	zinc finger E-box binding homeobox 1	TCF8|PPCD3	BZP|ZEB|AREB6|NIL-2-A|Zfhep|Zfhx1a|FECD6	ENSG00000148516	uc001ivs.5	NM_030751	P37275
HGNC:42354	Approved	ZEB1-AS1	ZEB1 antisense RNA 1			ENSG00000237036	uc057soa.1	NR_024284	
HGNC:14881	Approved	ZEB2	zinc finger E-box binding homeobox 2	ZFHX1B	KIAA0569|SIP-1|SIP1	ENSG00000169554	uc002tvu.4	NM_014795	O60315
HGNC:37149	Approved	ZEB2-AS1	ZEB2 antisense RNA 1	ZEB2AS|ZEB2-AS	ZEB2NAT	ENSG00000238057	uc061ohe.1	NR_040248	
HGNC:33346	Approved	ZEB2P1	zinc finger E-box binding homeobox 2 pseudogene 1	ZEB1P1		ENSG00000249506		NG_025087	
HGNC:30960	Approved	ZER1	zyg-11 related cell cycle regulator	C9orf60|ZYG11BL	ZYG|Hzyg	ENSG00000160445	uc004bwa.3	NM_006336	Q7Z7L7
HGNC:25858	Approved	ZFAND1	zinc finger AN1-type containing 1		FLJ14007	ENSG00000104231	uc003ycj.3	NM_024699	Q8TCF1
HGNC:28073	Approved	ZFAND2A	zinc finger AN1-type containing 2A		AIRAP	ENSG00000178381	uc003skc.4	NM_182491	Q8N6M9
HGNC:25206	Approved	ZFAND2B	zinc finger AN1-type containing 2B		AIRAPL	ENSG00000158552	uc031rri.1	NM_138802	Q8WV99
HGNC:18019	Approved	ZFAND3	zinc finger AN1-type containing 3	TEX27	FLJ13222	ENSG00000156639	uc003onx.4	NM_021943	Q9H8U3
HGNC:23504	Approved	ZFAND4	zinc finger AN1-type containing 4	ANUBL1	FLJ40185	ENSG00000172671	uc001jcm.6	NM_174890	Q86XD8
HGNC:13008	Approved	ZFAND5	zinc finger AN1-type containing 5	ZNF216|ZA20D2	ZFAND5A	ENSG00000107372	uc031ted.1	NM_001102420	O76080
HGNC:30164	Approved	ZFAND6	zinc finger AN1-type containing 6	ZA20D3	ZFAND5B|AWP1	ENSG00000086666	uc002bfe.2	NM_019006	Q6FIF0
HGNC:42978	Approved	ZFAND6P1	zinc finger AN1-type containing 6 pseudogene 1			ENSG00000244213		NG_029329	
HGNC:33101	Approved	ZFAS1	ZNFX1 antisense RNA 1	C20orf199|NCRNA00275|ZNFX1-AS1	HSUP1|HSUP2	ENSG00000177410	uc061xqc.1	NR_003604	
HGNC:19899	Approved	ZFAT	zinc finger and AT-hook domain containing	ZNF406|ZFAT1	KIAA1485	ENSG00000066827	uc003yup.4	NM_001029939	Q9P243
HGNC:33992	Approved	ZFAT-AS1	ZFAT antisense RNA 1	ZFATAS|ZFAT-AS	SAS-ZFAT|NCRNA00070	ENSG00000248492	uc003yus.1	NR_002438	
HGNC:28328	Approved	ZFC3H1	zinc finger C3H1-type containing	PSRC2|CCDC131	MGC23401|KIAA0546|CSRC2	ENSG00000133858	uc001swo.4	NM_144982	O60293
HGNC:20152	Approved	ZFHX2	zinc finger homeobox 2	ZNF409	KIAA1762|KIAA1056|ZFH-5	ENSG00000136367	uc010tno.2	NM_014894	Q9C0A1
HGNC:52658	Approved	ZFHX2-AS1	ZFHX2 antisense RNA 1			ENSG00000157306			
HGNC:777	Approved	ZFHX3	zinc finger homeobox 3	ATBF1	ZNF927	ENSG00000140836	uc002fck.4	NM_006885	Q15911
HGNC:30939	Approved	ZFHX4	zinc finger homeobox 4		ZFH4|FLJ20980	ENSG00000091656	uc003yau.3	NM_024721	Q86UP3
HGNC:44165	Approved	ZFHX4-AS1	ZFHX4 antisense RNA 1			ENSG00000253661	uc003yas.5	NR_024360	
HGNC:23328	Approved	ZFP1	ZFP1 zinc finger protein		FLJ34243|ZNF475	ENSG00000184517	uc002fdq.4	NM_153688	Q6P2D0
HGNC:26138	Approved	ZFP2	ZFP2 zinc finger protein		FLJ21628|ZNF751	ENSG00000198939	uc003mjn.2	NM_030613	Q6ZN57
HGNC:12861	Approved	ZFP3	ZFP3 zinc finger protein		FLJ30726|ZNF752	ENSG00000180787	uc002gaq.4	NM_153018	Q96NJ6
HGNC:29312	Approved	ZFP14	ZFP14 zinc finger protein		KIAA1559|ZNF531	ENSG00000142065	uc010eex.3	NM_020917	Q9HCL3
HGNC:17801	Approved	ZFP28	ZFP28 zinc finger protein		KIAA1431|mkr5	ENSG00000196867	uc002qnj.4	NM_020828	Q8NHY6
HGNC:29555	Approved	ZFP30	ZFP30 zinc finger protein		ZNF745|KIAA0961	ENSG00000120784	uc002ogx.2	NM_014898	Q9Y2G7
HGNC:12862	Approved	ZFP36	ZFP36 ring finger protein		RNF162A|TIS11|G0S24|TTP|NUP475	ENSG00000128016	uc002olh.3	NM_003407	P26651
HGNC:1107	Approved	ZFP36L1	ZFP36 ring finger protein like 1	BRF1	RNF162B|Berg36|ERF1|TIS11B|cMG1	ENSG00000185650	uc001xki.3	NM_001244698	Q07352
HGNC:1108	Approved	ZFP36L2	ZFP36 ring finger protein like 2	BRF2	ERF2|RNF162C|TIS11D	ENSG00000152518	uc002rsv.5	NM_006887	P47974
HGNC:12863	Approved	ZFP37	ZFP37 zinc finger protein		ZNF906	ENSG00000136866	uc011lwz.3	NM_003408	Q9Y6Q3
HGNC:26786	Approved	ZFP41	ZFP41 zinc finger protein		FLJ38705|FLJ00028|ZNF753	ENSG00000181638	uc064qwy.1	NM_173832	Q8N8Y5
HGNC:30949	Approved	ZFP42	ZFP42 zinc finger protein		REX1|ZNF754	ENSG00000179059	uc003izh.2	NM_174900	Q96MM3
HGNC:18791	Approved	ZFP57	ZFP57 zinc finger protein	C6orf40	ZNF698|bA145L22|bA145L22.2	ENSG00000204644	uc011dlw.2	XM_294093	Q9NU63
HGNC:23241	Approved	ZFP62	ZFP62 zinc finger protein		FLJ34231|ZET|ZNF755	ENSG00000196670	uc011dhe.3	NM_152283	Q8NB50
HGNC:15940	Approved	ZFP64	ZFP64 zinc finger protein	ZNF338	FLJ10734|dJ831D17.1|FLJ12628|dJ548G19.1	ENSG00000020256	uc002xwk.4	NM_018197	Q9NPA5|Q9NTW7
HGNC:19820	Approved	ZFP64P1	ZFP64 zinc finger protein pseudogene 1	ZNF405P		ENSG00000258491		NG_002504	
HGNC:24708	Approved	ZFP69	ZFP69 zinc finger protein	ZNF642	ZKSCAN23A|FLJ16030|ZFP69A|ZSCAN54A	ENSG00000187815	uc009vwb.4	NM_198494	Q49AA0
HGNC:28053	Approved	ZFP69B	ZFP69 zinc finger protein B	ZNF643	ZKSCAN23B|FLJ34293|ZSCAN54B	ENSG00000187801	uc001cfn.3	NM_023070	Q9UJL9
HGNC:28682	Approved	ZFP82	ZFP82 zinc finger protein	ZNF545	MGC45380|KIAA1948	ENSG00000181007	uc002ody.2	NM_133466	Q8N141
HGNC:23329	Approved	ZFP90	ZFP90 zinc finger protein		KIAA1954|NK10|ZNF756	ENSG00000184939	uc010cff.4	XM_085375	Q8TF47
HGNC:14983	Approved	ZFP91	ZFP91 zinc finger protein		PZF|ZNF757	ENSG00000186660	uc001nmx.5	NM_053023	Q96JP5
HGNC:33441	Approved	ZFP91-CNTF	ZFP91-CNTF readthrough (NMD candidate)			ENSG00000255073	uc058bpo.1	NM_170768	
HGNC:12865	Approved	ZFP92	ZFP92 zinc finger protein		ZNF897	ENSG00000189420	uc011myo.3	NM_001136273	A6NM28
HGNC:12868	Approved	ZFPL1	zinc finger protein like 1		D11S750|MCG4	ENSG00000162300	uc001ocq.2	NM_006782	O95159
HGNC:19762	Approved	ZFPM1	"zinc finger protein, FOG family member 1"		FOG1|FOG|ZNF89A|ZC2HC11A	ENSG00000179588	uc002fkv.4	NM_153813	Q8IX07
HGNC:16700	Approved	ZFPM2	"zinc finger protein, FOG family member 2"		FOG2|hFOG-2|ZNF89B|ZC2HC11B	ENSG00000169946	uc003ymd.4	NM_012082	Q8WW38
HGNC:50698	Approved	ZFPM2-AS1	ZFPM2 antisense RNA 1			ENSG00000251003		NR_125796	
HGNC:17277	Approved	ZFR	zinc finger RNA binding protein		ZFR1|SPG71	ENSG00000056097	uc003jhr.2	NM_016107	Q96KR1
HGNC:29189	Approved	ZFR2	zinc finger RNA binding protein 2	KIAA1086		ENSG00000105278	uc002lyw.3	NM_015174	Q9UPR6
HGNC:38030	Approved	ZFRP1	zinc finger RNA binding protein pseudogene 1			ENSG00000234570		NG_023000	
HGNC:12869	Approved	ZFX	"zinc finger protein, X-linked"		ZNF926	ENSG00000005889	uc004dbd.3	NM_003410	P17010
HGNC:40617	Approved	ZFX-AS1	ZFX antisense RNA 1			ENSG00000234230	uc031thb.1	NR_046657	
HGNC:12870	Approved	ZFY	"zinc finger protein, Y-linked"		ZNF911	ENSG00000067646	uc065cpg.1	NM_003411	P08048
HGNC:38798	Approved	ZFY-AS1	ZFY antisense RNA 1	ZFYAS|ZFY-AS		ENSG00000233070	uc065cpj.1	XR_001756052	
HGNC:13180	Approved	ZFYVE1	zinc finger FYVE-type containing 1	ZNFN2A1	DFCP1|KIAA1589|TAFF1|PPP1R172	ENSG00000165861	uc001xnm.5	NM_021260	Q9HBF4
HGNC:6775	Approved	ZFYVE9	zinc finger FYVE-type containing 9	MADHIP	SMADIP|SARA|PPP1R173	ENSG00000157077	uc001cto.5	NM_007324	O95405
HGNC:33359	Approved	ZFYVE9P1	zinc finger FYVE-type containing 9 pseudogene 1			ENSG00000229562		NG_022707	
HGNC:39046	Approved	ZFYVE9P2	zinc finger FYVE-type containing 9 pseudogene 2			ENSG00000214843		NG_023679	
HGNC:20756	Approved	ZFYVE16	zinc finger FYVE-type containing 16		KIAA0305|PPP1R69	ENSG00000039319	uc003kgq.6	NM_014733	Q7Z3T8
HGNC:20758	Approved	ZFYVE19	zinc finger FYVE-type containing 19		FLJ14840|ANCHR	ENSG00000166140	uc001zmt.2	NM_032850	Q96K21
HGNC:20760	Approved	ZFYVE21	zinc finger FYVE-type containing 21		MGC2550|ZF21	ENSG00000100711	uc001yoc.4	NM_024071	Q9BQ24
HGNC:20761	Approved	ZFYVE26	zinc finger FYVE-type containing 26	SPG15	KIAA0321	ENSG00000072121	uc001xka.2	NM_015346	Q68DK2
HGNC:26559	Approved	ZFYVE27	zinc finger FYVE-type containing 27		FLJ32919|SPG33	ENSG00000155256	uc001kom.3	NM_144588	Q5T4F4
HGNC:29334	Approved	ZFYVE28	zinc finger FYVE-type containing 28		KIAA1643	ENSG00000159733	uc003gex.3	XM_035371	Q9HCC9
HGNC:30961	Approved	ZG16	zymogen granule protein 16	JCLN	hZG16|JCLN1|ZG16A	ENSG00000174992	uc002dtr.5	NM_152338	O60844
HGNC:30456	Approved	ZG16B	zymogen granule protein 16B		HRPE773|PRO1567|JCLN2	ENSG00000162078	uc002cru.4	NM_145252	Q96DA0
HGNC:37245	Approved	ZGLP1	"zinc finger, GATA-like protein 1"		GLP1|GLP-1|GATAD3	ENSG00000220201	uc002mnw.5	NM_001103167	P0C6A0
HGNC:15948	Approved	ZGPAT	zinc finger CCCH-type and G-patch domain containing	KIAA1847	dJ583P15.3|MGC44880|FLJ14972|ZC3HDC9|ZC3H9|GPATC6|GPATCH6|ZIP	ENSG00000197114	uc002ygi.3	NM_181484	Q8N5A5
HGNC:25654	Approved	ZGRF1	zinc finger GRF-type containing 1	C4orf21	FLJ11331	ENSG00000138658		NM_018392	Q86YA3
HGNC:12871	Approved	ZHX1	zinc fingers and homeoboxes 1			ENSG00000165156	uc003yqe.4	NM_001017926	Q9UKY1
